Movie,Month,Day,Release Year,Budget($M),Domestic Gross($M),Worldwide Gross($M)
Maid in Manhattan,Dec,13,2002,55,93.932896,163.838217
Crimson Tide,May,12,1995,55,91.387195,159.387195
Flightplan,Sep,23,2005,55,89.706988,214.392904
Disclosure,Dec,9,1994,55,83.015089,212.2
City of Angels,Apr,10,1998,55,78.750909,198.750909
Paddington,Jan,16,2015,55,76.223578,259.54143
R.V.,Apr,28,2006,55,71.724497,87.524497
Stargate,Oct,28,1994,55,71.565669,196.565669
Kill Bill: Volume 1,Oct,10,2003,55,70.098138,176.469428
Mr. Poppers's Penguins,Jun,17,2011,55,68.224452,189.624452
Bowfinger,Aug,13,1999,55,66.458769,98.699769
Kill Bill: Volume 2,Apr,16,2004,55,66.20792,153.535982
Tango & Cash,Dec,22,1989,55,63.408614,63.408614
Death Becomes Her,Jul,31,1992,55,58.42265,149.02265
Shanghai Noon,May,26,2000,55,56.932305,71.189835
Executive Decision,Mar,15,1996,55,56.679192,122.079192
Free Birds,Nov,1,2013,55,55.75048,110.387072
Alien 3,May,22,1992,55,54.927174,158.5
The Forbidden Kingdom,Apr,18,2008,55,52.07527,129.07527
The Phantom of the Opera,Dec,22,2004,55,51.225796,154.605868
Muppets Most Wanted,Mar,21,2014,55,51.178893,79.312301
Evita,Dec,25,1996,55,50.047179,151.947179
Kubo and the Two Strings,Aug,19,2016,55,46.894048,61.494048
Ronin,Sep,25,1998,55,41.610884,70.692101
Burlesque,Nov,24,2010,55,39.440655,90.552675
The Ghost and the Darkness,Oct,11,1996,55,38.564422,38.564422
Changeling,Oct,24,2008,55,35.739802,113.80558
The Watch,Jul,27,2012,55,34.353,67.353
The Hunted,Mar,14,2003,55,34.234008,47.213095
Instinct,Jun,4,1999,55,34.105207,34.105207
Stuck On You,Dec,12,2003,55,33.832741,63.537164
Semi-Pro,Feb,29,2008,55,33.479698,43.980363
Crimson Peak,Oct,16,2015,55,31.09032,74.456933
The Pirates! Band of Misfits,Apr,27,2012,55,31.051126,136.143605
Aeon Flux,Dec,2,2005,55,25.857987,47.953341
Chain Reaction,Aug,2,1996,55,21.226204,60.209334
The Fan,Aug,16,1996,55,18.582965,18.582965
Elizabeth: The Golden Age,Oct,12,2007,55,16.28524,74.870866
Imagine That,Jun,12,2009,55,16.123323,16.123323
Gods and Generals,Feb,21,2003,55,12.882934,12.923936
Turbulence,Jan,10,1997,55,11.532774,11.532774
Bullet to the Head,Feb,1,2013,55,9.489829,22.597969
All the King's Men,Sep,22,2006,55,7.221458,9.521458
Thunderbirds,Jul,30,2004,55,6.768055,28.231444
A Very Long Engagement,Nov,26,2004,55,6.167817,69.759296
Lucky You,May,4,2007,55,5.755286,6.521829
Lolita,Jul,22,1998,55,1.147784,1.147784
Eye See You,Sep,20,2002,55,0.079161,1.80799
Superman II,Jun,19,1981,54,108.185706,108.185706
Blade 2,Mar,22,2002,54,81.676888,154.338601
"You, Me and Dupree",Jul,14,2006,54,75.80201,130.40201
Seven Pounds,Dec,19,2008,54,69.951824,166.617328
The Godfather: Part III,Dec,25,1990,54,66.520529,66.520529
Elizabethtown,Oct,14,2005,54,26.850426,50.719373
Gigli,Aug,1,2003,54,6.087542,7.126002
Shaft,Jun,16,2000,53.012938,70.327868,107.190108
The Dukes of Hazzard,Aug,5,2005,53,80.270227,109.848461
Law Abiding Citizen,Oct,16,2009,53,73.357727,131.159781
Black Mass,Sep,18,2015,53,62.575678,98.837872
Anastasia,Nov,14,1997,53,58.403409,139.80141
Moulin Rouge,May,18,2001,53,57.386369,179.213196
Domestic Disturbance,Nov,2,2001,53,45.207112,54.207112
Flags of Our Fathers,Oct,20,2006,53,33.602376,63.657941
Grindhouse,Apr,6,2007,53,25.031037,50.187789
Beloved,Oct,16,1998,53,22.852487,22.852487
Zero Dark Thirty,Dec,19,2012,52.5,95.720716,134.612435
Catch Me if You Can,Dec,25,2002,52,164.6068,355.612291
Mamma Mia!,Jul,18,2008,52,144.130063,602.50056
The Break-Up,Jun,2,2006,52,118.703275,205.727307
Valentine's Day,Feb,12,2010,52,110.485654,217.569328
Casino,Nov,22,1995,52,42.4383,110.4
The Change-Up,Aug,5,2011,52,37.081475,75.835124
The Thin Red Line,Dec,23,1998,52,36.400491,97.709034
Man on the Moon,Dec,22,1999,52,34.580635,47.407635
From Paris With Love,Feb,5,2010,52,24.077427,53.139168
Bulletproof Monk,Apr,16,2003,52,23.010607,23.010607
"Me, Myself & Irene",Jun,23,2000,51,90.570999,149.270999
Barnyard: The Original Party Animals,Aug,4,2006,51,72.779,118.583844
Deck the Halls,Nov,22,2006,51,35.093569,46.815807
The Adjustment Bureau,Mar,4,2011,50.2,62.495645,126.931325
The Twilight Saga: New Moon,Nov,20,2009,50,296.623634,687.557727
Shrek,May,18,2001,50,267.655011,491.812794
Ted,Jun,29,2012,50,218.66574,556.016627
22 Jump Street,Jun,13,2014,50,191.719337,331.333876
Robin Hood: Prince of Thieves,Jun,14,1991,50,165.493908,390.5
Jerry Maguire,Dec,13,1996,50,153.952592,274
Daddy’s Home,Dec,25,2015,50,150.357137,238.757137
As Good as it Gets,Dec,24,1997,50,148.478011,314.111923
Patch Adams,Dec,25,1998,50,135.014968,202.173
Into the Woods,Dec,25,2014,50,128.002372,203.502372
Central Intelligence,Jun,17,2016,50,127.440871,215.140871
Anchorman 2: The Legend Continues,Dec,18,2013,50,127.352707,172.185754
Super 8,Jun,9,2011,50,127.004179,257.972745
Mr. Deeds,Jun,28,2002,50,126.293452,171.269535
Erin Brockovich,Mar,17,2000,50,125.548685,257.805243
How to Lose a Guy in 10 Days,Feb,7,2003,50,105.80752,178.890782
Interview with the Vampire: The Vampire Chronicles,Nov,11,1994,50,105.264608,223.564608
Yes Man,Dec,19,2008,50,97.690976,225.990976
Non-Stop,Feb,28,2014,50,91.74216,212.74216
Stepmom,Dec,25,1998,50,91.137662,159.745279
Disney Planes,Aug,9,2013,50,90.28258,238.059569
Failure to Launch,Mar,10,2006,50,88.715192,128.402901
Inside Man,Mar,24,2006,50,88.634237,185.798265
"Crazy, Stupid, Love",Jul,29,2011,50,84.351197,147.142328
Payback,Feb,5,1999,50,81.526121,161.626121
Congo,Jun,9,1995,50,81.022333,152.022333
Knowing,Mar,20,2009,50,79.957634,186.450317
The Ring Two,Mar,18,2005,50,75.941727,161.941727
We Bought a Zoo,Nov,26,2011,50,75.62455,118.729073
Moneyball,Sep,23,2011,50,75.605492,111.300835
Garfield,Jun,11,2004,50,75.367693,208.09455
Christmas with the Kranks,Nov,24,2004,50,73.701902,96.469187
V for Vendetta,Mar,17,2006,50,70.511035,130.214162
Outbreak,Mar,10,1995,50,67.823573,67.823573
Race to Witch Mountain,Mar,13,2009,50,67.172594,105.103783
The Forgotten,Sep,24,2004,50,66.711892,117.211892
Herbie: Fully Loaded,Jun,22,2005,50,66.010682,144.110682
Shanghai Knights,Feb,7,2003,50,60.47022,88.316835
Planes: Fire and Rescue,Jul,18,2014,50,59.157732,156.399644
Curious George,Feb,10,2006,50,58.640119,71.052604
American Reunion,Apr,6,2012,50,56.758835,236.799211
Hansel & Gretel: Witch Hunters,Jan,25,2013,50,55.703475,214.949716
I am Number Four,Feb,18,2011,50,55.100437,146.195159
Don’t Say a Word,Sep,28,2001,50,54.997476,104.488383
13 Hours: The Secret Soldiers of Benghazi,Jan,15,2016,50,52.853219,68.053219
Unfaithful,May,8,2002,50,52.752475,119.114494
Syriana,Nov,23,2005,50,50.82462,92.690959
Resident Evil: Apocalypse,Sep,10,2004,50,50.740078,125.168734
The Book of Life,Oct,17,2014,50,50.151543,97.651543
Absolute Power,Feb,14,1997,50,50.06831,50.06831
Firewall,Feb,10,2006,50,48.751189,82.751189
The Game,Sep,12,1997,50,48.265581,80.36997
G.I. Jane,Aug,22,1997,50,48.169156,48.169156
Into the Storm,Aug,8,2014,50,47.602194,156.602194
The Judge,Oct,10,2014,50,47.119388,76.119388
Silent Hill,Apr,21,2006,50,46.982632,94.704227
The Replacements,Aug,11,2000,50,44.737059,50.054511
The Negotiator,Jul,29,1998,50,44.705766,49.105766
War Dogs,Aug,19,2016,50,42.816119,80.216119
Beverly Hills Cop III,May,25,1994,50,42.586861,119.180938
Gremlins 2: The New Batch,Jun,15,1990,50,41.476097,41.476097
The Peacemaker,Sep,26,1997,50,41.26314,62.967368
Out of Time,Oct,3,2003,50,41.083108,55.489826
Bridget Jones: The Edge Of Reason,Nov,12,2004,50,40.20302,263.894551
The Beach,Feb,11,2000,50,39.778599,39.778599
The Adventures of Sharkboy and Lavagirl in 3-D,Jun,10,2005,50,39.177684,69.425966
On Deadly Ground,Feb,18,1994,50,38.590458,38.590458
Ninja Assassin,Nov,25,2009,50,38.122883,62.209892
Raising Helen,May,28,2004,50,37.485528,43.340302
The Nice Guys,May,20,2016,50,36.261763,57.261763
For Love of the Game,Sep,17,1999,50,35.18864,46.11264
Jack Frost,Dec,11,1998,50,34.645374,34.645374
Marmaduke,Jun,4,2010,50,33.644788,84.023611
Striptease,Jun,28,1996,50,33.109743,113.309743
Hereafter,Oct,15,2010,50,32.746941,105.246941
Murder by Numbers,Apr,19,2002,50,31.874869,56.643267
Assassins,Oct,6,1995,50,30.306268,83.306268
Zoolander 2,Feb,12,2016,50,28.848693,55.348693
Defiance,Dec,31,2008,50,28.644813,52.987754
Hannibal Rising,Feb,9,2007,50,27.669725,80.583311
The Story of Us,Oct,15,1999,50,27.10003,27.10003
The Host,Mar,29,2013,50,26.623701,64.477051
Basic,Mar,28,2003,50,26.599248,42.598498
Run All Night,Mar,13,2015,50,26.461644,66.961644
Blood Work,Aug,9,2002,50,26.199517,26.199517
The International,Feb,13,2009,50,25.450527,53.850527
Escape from L.A.,Aug,9,1996,50,25.426861,25.426861
Twisted,Feb,27,2004,50,25.19505,40.119848
The Life Aquatic with Steve Zissou,Dec,10,2004,50,24.006726,34.806726
The Iron Giant,Aug,4,1999,50,23.159305,31.333917
Your Highness,Apr,8,2011,50,21.596445,26.121638
Dream House,Sep,30,2011,50,21.30234,41.642166
Free State of Jones,Jun,24,2016,50,20.810036,22.242337
Gamer,Sep,4,2009,50,20.534907,42.002029
Man of the House,Feb,25,2005,50,19.699706,22.099706
The Life of David Gale,Feb,21,2003,50,19.694635,28.920188
Snowden,Sep,16,2016,50,19.463078,23.463078
Beautiful Creatures,Feb,14,2013,50,19.452138,60.282876
Into the Blue,Sep,30,2005,50,18.782227,41.982227
Eastern Promises,Sep,14,2007,50,17.181265,56.077088
Baby's Day Out,Jul,1,1994,50,16.581575,16.581575
The Messenger: The Story of Joan of Arc,Nov,12,1999,50,14.271297,14.271297
Fair Game,Nov,3,1995,50,11.497497,26.097497
Drive Angry,Feb,25,2011,50,10.721033,41.042583
Mad City,Nov,7,1997,50,10.561038,10.561038
The Scarlet Letter,Oct,13,1995,50,10.359006,10.359006
Domino,Oct,14,2005,50,10.169202,22.969202
Jade,Oct,13,1995,50,9.81287,9.81287
Street Fighter: The Legend of Chun-Li,Feb,27,2009,50,9.135036,12.335036
Death to Smoochy,Mar,29,2002,50,8.355815,8.374062
The Boat That Rocked,Nov,13,2009,50,8.017467,37.472651
The Big Bounce,Jan,30,2004,50,6.471394,6.626115
What Planet Are You From?,Mar,3,2000,50,6.291602,6.291602
Child 44,Apr,17,2015,50,1.22433,3.43433
Outlander,Jan,23,2009,50,0.166003,1.250617
Upside Down,Mar,15,2013,50,0.102118,26.387039
Shanghai,Oct,2,2015,50,0.046425,11.258055
Arrival,Nov,11,2016,50,0,0
The One,Nov,2,2001,49,43.905746,72.689126
Chappie,Mar,6,2015,49,31.569268,105.002056
The Adventures of Ford Fairlane,Jul,11,1990,49,20.423389,20.423389
Anna Karenina,Nov,16,2012,49,12.816367,71.004627
Indiana Jones and the Last Crusade,May,24,1989,48,197.171806,474.171806
The Ring,Oct,18,2002,48,129.094024,248.218486
Traffic,Dec,27,2000,48,124.107476,208.3
Panic Room,Mar,29,2002,48,95.308367,196.308367
Taken 3,Jan,9,2015,48,89.256424,327.656424
The Thomas Crown Affair,Aug,6,1999,48,69.304264,124.304264
The Bone Collector,Nov,5,1999,48,66.48809,151.46309
Three Kings,Oct,1,1999,48,60.652036,107.752036
The Tooth Fairy,Jan,22,2010,48,60.022256,112.610386
Rat Race,Aug,17,2001,48,56.607223,86.607223
3:10 to Yuma,Sep,2,2007,48,53.606916,71.171825
K-PAX,Aug,13,2001,48,50.31514,50.31514
Kate and Leopold,Dec,25,2001,48,47.095453,70.937778
Bedazzled,Oct,20,2000,48,37.879996,90.376224
Out of Sight,Jun,26,1998,48,37.562568,77.562568
The Cotton Club,Dec,14,1984,48,25.928721,25.928721
Rambo,Jan,25,2008,47.5,42.754105,112.214531
The Infiltrator,Jul,13,2016,47.5,15.43142,17.824753
Dick Tracy,Jun,15,1990,47,103.738726,162.738726
The Cable Guy,Jun,14,1996,47,60.240295,102.825796
Earth,Apr,22,2009,47,32.011576,116.773317
Riding in Cars with Boys,Oct,19,2001,47,29.781453,29.781453
Happily N'Ever After,Jan,5,2007,47,15.849032,37.923818
Solaris,Nov,27,2002,47,14.970038,14.970038
Jonah Hex,Jun,18,2010,47,10.547117,11.022696
Mary Reilly,Feb,23,1996,47,5.707094,12.9
My Best Friend's Wedding,Jun,20,1997,46,126.813153,298.923419
America's Sweethearts,Jul,20,2001,46,93.607673,160.648493
Star Trek: First Contact,Nov,22,1996,46,92.027888,150
Insomnia,May,24,2002,46,67.263182,113.622499
Prisoners,Sep,20,2013,46,61.002302,113.402302
Courage Under Fire,Jul,12,1996,46,59.003384,100.833145
Inchon,Sep,17,1982,46,4.408636,4.408636
Liar Liar,Mar,21,1997,45,181.410615,302.710615
A Bug's Life,Nov,20,1998,45,162.798565,363.095319
Taken 2,Oct,5,2012,45,139.854287,377.807404
The Flintstones,May,27,1994,45,130.531208,358.5
Scary Movie 3,Oct,24,2003,45,110.000082,155.2
Miss Congeniality,Dec,22,2000,45,106.807667,213.420951
Journey to the Center of the Earth,Jul,11,2008,45,101.70437,243.180937
The Pelican Brief,Dec,17,1993,45,100.768056,187.995859
The Princess Diaries 2: Royal Engagement,Aug,11,2004,45,95.149435,122.071435
The Bucket List,Dec,25,2007,45,93.466502,174.810815
The Client,Jul,20,1994,45,92.115211,117.615211
The Muppets,Nov,23,2011,45,88.625922,160.971922
Patriot Games,Jun,5,1992,45,83.287363,178.1
Monster-in-Law,May,13,2005,45,82.931301,155.931301
Training Day,Oct,5,2001,45,76.261036,104.505362
Galaxy Quest,Dec,24,1999,45,71.423726,90.523726
Scary Movie 2,Jul,4,2001,45,71.27742,141.189101
Blade,Aug,21,1998,45,70.141876,131.237688
Coach Carter,Jan,14,2005,45,67.264877,76.665507
The Bounty Hunter,Mar,19,2010,45,67.061228,135.808837
Changing Lanes,Apr,12,2002,45,66.790248,66.790248
Anaconda,Apr,11,1997,45,65.598907,136.998907
Underworld: Evolution,Jan,20,2006,45,62.318875,113.417762
Coyote Ugly,Aug,4,2000,45,60.786269,113.916474
Love Actually,Nov,7,2003,45,59.472278,247.967903
Jack,Aug,9,1996,45,58.617334,58.617334
The Specialist,Oct,7,1994,45,57.362581,57.362581
Tin Cup,Aug,16,1996,45,53.854588,75.854588
"Yours, Mine and Ours",Nov,23,2005,45,53.359917,72.359917
Kicking and Screaming,May,13,2005,45,52.842724,55.842724
The Hitchhiker's Guide to the Galaxy,Apr,29,2005,45,51.019112,102.746214
Resident Evil: Extinction,Sep,21,2007,45,50.648679,146.16292
Fat Albert,Dec,25,2004,45,48.114556,48.563556
Savages,Jul,6,2012,45,47.3231,80.59486
The River Wild,Sep,30,1994,45,46.815,94.215
Blended,May,23,2014,45,46.290741,127.990741
Last Holiday,Jan,13,2006,45,38.399961,43.343247
16 Blocks,Mar,3,2006,45,36.895141,65.595141
The Indian in the Cupboard,Jul,14,1995,45,35.627222,35.627222
Cellular,Sep,10,2004,45,32.00362,61.475984
The Ant Bully,Jul,28,2006,45,28.142535,49.610898
Johnny English,Jul,18,2003,45,28.013509,163.126676
Dune,Dec,14,1984,45,27.447471,27.447471
Aliens in the Attic,Jul,31,2009,45,25.200412,59.551283
Across the Universe,Sep,14,2007,45,24.343673,29.367143
Revolutionary Road,Dec,26,2008,45,22.91148,79.56496
Babylon A.D.,Aug,29,2008,45,22.532572,70.216497
Frankenstein,Nov,4,1994,45,22.006296,112.006296
The Glimmer Man,Oct,4,1996,45,20.404841,36.404841
Multiplicity,Jul,17,1996,45,20.133326,20.133326
The Pledge,Jan,19,2001,45,19.71993,29.406132
The Producers: The Movie Musical,Dec,16,2005,45,19.398532,32.952995
The Phantom,Jun,7,1996,45,17.220599,17.220599
Rebound,Jul,1,2005,45,16.809014,17.492014
The Ghost Writer,Feb,19,2010,45,15.541549,65.532491
All the Pretty Horses,Dec,22,2000,45,15.527125,18.120267
Bangkok Dangerous,Sep,5,2008,45,15.298133,46.598133
Nixon,Dec,20,1995,45,13.668249,34.668249
Dredd,Sep,21,2012,45,13.414714,41.467606
The Rum Diary,Oct,28,2011,45,13.109815,21.544732
Deep Rising,Jan,30,1998,45,11.203026,11.203026
Johnny English Reborn,Oct,21,2011,45,8.30597,164.53966
Miracle at St. Anna,Sep,26,2008,45,7.916887,9.676497
Big Trouble,Apr,5,2002,45,7.262288,8.488871
Man cheng jin dai huang jin jia,Dec,21,2006,45,6.566773,75.566773
Love in the Time of Cholera,Nov,16,2007,45,4.617608,31.077418
Pinocchio,Dec,25,2002,45,3.681811,31.681811
Shadow Conspiracy,Jan,31,1997,45,2.15454,2.15454
Foodfight!,Dec,31,2012,45,0,0.073706
The Girl on the Train,Oct,7,2016,45,0,0
Argo,Oct,12,2012,44.5,136.025503,227.140757
The Fugitive,Aug,6,1993,44,183.87576,353.715317
Rambo: First Blood Part II,May,22,1985,44,150.415432,300.4
Sleepers,Oct,18,1996,44,53.300852,165.600852
Charlie St. Cloud,Jul,30,2010,44,31.206263,48.478084
The Juror,Feb,2,1996,44,22.730924,22.730924
The Interview,Feb,6,2014,44,6.105175,12.342632
Heaven's Gate,Nov,19,1980,44,3.484331,3.484523
The Heat,Jun,28,2013,43,159.581587,229.727774
Finding Forrester,Dec,19,2000,43,51.768623,80.013623
28 Days,Apr,14,2000,43,37.035515,62.063972
Danny the Dog,May,13,2005,43,24.537621,49.037621
The Sweetest Thing,Apr,12,2002,43,24.430272,63.078756
The Mechanic,Jan,28,2011,42.5,29.121498,76.347393
The Firm,Jun,30,1993,42,158.340892,270.340892
21 Jump Street,Mar,16,2012,42,138.447667,202.812429
Notting Hill,May,28,1999,42,116.089678,363.728226
Chicken Run,Jun,21,2000,42,106.793915,227.793915
Along Came Polly,Jan,16,2004,42,88.073507,173.04441
Boomerang,Jul,1,1992,42,70.052444,131.052444
Brüno,Jul,10,2009,42,60.05453,130.788243
Cleopatra,Jun,12,1963,42,57,71
Here Comes the Boom,Oct,12,2012,42,45.290318,73.239258
High Crimes,Apr,5,2002,42,41.543207,63.7811
The Mirror Has Two Faces,Nov,15,1996,42,41.267469,41.267469
Red Riding Hood,Mar,11,2011,42,37.662162,91.678442
The Mothman Prophecies,Jan,25,2002,42,35.228696,56.438555
Licence to Kill,Jul,14,1989,42,34.667015,156.167015
One for the Money,Jan,27,2012,42,26.414527,36.197221
15 Minutes,Mar,9,2001,42,24.375436,56.331864
Lord of War,Sep,16,2005,42,24.149632,60.437727
Super Mario Bros.,May,28,1993,42,20.844907,20.844907
Hero,Oct,2,1992,42,19.487173,66.787173
Man on a Ledge,Jan,27,2012,42,18.62,45.688337
The Warrior's Way,Dec,3,2010,42,5.66634,8.514325
McHale's Navy,Apr,18,1997,42,4.40842,4.40842
Micmacs,May,28,2010,42,1.259693,11.756922
Les Bronzés 3: amis pour la vie,Dec,31,2006,42,0,83.833602
Pourquoi j'ai pas mangé mon père,Dec,31,2015,42,0,0.182156
8 Mile,Nov,8,2002,41,116.724075,245.769202
A Knight’s Tale,May,11,2001,41,56.083966,100.622586
The Medallion,Aug,22,2003,41,22.108977,22.108977
The Big Year,Oct,14,2011,41,7.204138,7.684524
The Sixth Sense,Aug,6,1999,40,293.506292,672.806292
The Wedding Crashers,Jul,15,2005,40,209.218368,283.218368
The Karate Kid,Jun,11,2010,40,176.591618,351.774938
Fifty Shades of Grey,Feb,13,2015,40,166.16723,570.97847
The Proposal,Jun,19,2009,40,163.958031,314.709717
American Hustle,Dec,13,2013,40,150.117807,257.878294
Cheaper by the Dozen,Dec,25,2003,40,138.614544,189.714544
Lucy,Jul,25,2014,40,126.57396,457.507776
Lone Survivor,Dec,25,2013,40,125.095601,149.804632
Back to the Future Part II,Nov,22,1989,40,118.450002,332
Double Jeopardy,Sep,24,1999,40,116.735231,177.835231
Spy Kids 3-D: Game Over,Jul,25,2003,40,111.760631,167.851995
A Time to Kill,Jul,24,1996,40,108.766007,152.266007
A League of Their Own,Jul,1,1992,40,107.533925,132.440066
The Conjuring 2: The Enfield Poltergeist,Jun,10,2016,40,102.470008,311.270008
The Social Network,Oct,1,2010,40,96.962694,224.922135
42,Apr,12,2013,40,95.020213,97.470701
Julie & Julia,Aug,7,2009,40,94.125426,126.646119
He's Just Not That Into You,Feb,6,2009,40,93.953653,181.053657
Ride Along 2,Jan,15,2016,40,90.862685,124.246152
Scary Movie 4,Apr,14,2006,40,90.71062,178.71062
Get Hard,Mar,27,2015,40,90.411453,106.511453
Scream 3,Feb,4,2000,40,89.138076,161.838076
Back to the Future Part III,May,24,1990,40,88.055283,244.088654
Dumb and Dumber To,Nov,14,2014,40,86.20801,141.20801
The Other Woman,Apr,25,2014,40,83.911193,195.111193
Bram Stoker's Dracula,Nov,13,1992,40,82.52279,215.862692
Eight Below,Feb,17,2006,40,81.612565,120.612565
The Talented Mr. Ripley,Dec,24,1999,40,81.292135,128.792135
The Intern,Sep,25,2015,40,75.764672,197.232734
The Last of the Mohicans,Sep,25,1992,40,75.505856,75.505856
Ray,Oct,29,2004,40,75.305995,124.823094
Sin City,Apr,1,2005,40,74.10382,158.527918
Bridge of Spies,Oct,16,2015,40,72.313754,161.513754
Vantage Point,Feb,22,2008,40,72.266306,150.886329
"I Love You, Man",Mar,20,2009,40,71.440011,91.729503
Shallow Hal,Nov,9,2001,40,70.836296,70.836296
JFK,Dec,20,1991,40,70.405498,205.4
Big Momma's House 2,Jan,27,2006,40,70.165972,137.047376
The Mexican,Mar,2,2001,40,66.808615,145.23825
The Final Destination,Aug,28,2009,40,66.4777,187.384627
17 Again,Apr,17,2009,40,64.167069,139.474906
Unknown,Feb,18,2011,40,63.686397,136.123083
Get Him to the Greek,Jun,4,2010,40,61.153526,91.455875
Gothika,Nov,21,2003,40,59.588068,141.484812
Behind Enemy Lines,Nov,30,2001,40,58.855732,58.855732
The Lincoln Lawyer,Mar,18,2011,40,58.0092,87.145086
Shall We Dance?,Oct,15,2004,40,57.887882,118.097882
Invincible,Aug,25,2006,40,57.806952,58.501127
Escape From Planet Earth,Feb,15,2013,40,57.012977,74.15661
Small Soldiers,Jul,10,1998,40,55.143823,71.743823
Spawn,Jul,31,1997,40,54.979992,87.949859
Horrible Bosses 2,Nov,26,2014,40,54.445357,105.945357
The Count of Monte Cristo,Jan,25,2002,40,54.228104,75.38909
The Prestige,Oct,20,2006,40,53.089891,104.407366
The Lake House,Jun,16,2006,40,52.330111,114.830111
Predators,Jul,9,2010,40,52.000688,127.234389
The Odd Life of Timothy Green,Aug,15,2012,40,51.85345,55.249159
The Living Daylights,Jul,31,1987,40,51.185,191.2
Apocalypto,Dec,8,2006,40,50.866635,121.032272
Music and Lyrics,Feb,14,2007,40,50.572589,146.300356
Legal Eagles,Jun,18,1986,40,49.851591,49.851591
Secret Window,Mar,12,2004,40,47.958031,92.111551
The Skeleton Key,Aug,12,2005,40,47.907715,92.256918
Jersey Boys,Jun,20,2014,40,47.047013,65.282732
Made of Honor,May,2,2008,40,46.012734,106.548738
The Rainmaker,Nov,21,1997,40,45.916769,45.916769
Medicine Man,Feb,7,1992,40,44.94824,44.94824
Amistad,Dec,12,1997,40,44.212592,58.250151
A Million Ways to Die in The West,May,30,2014,40,42.720965,86.760995
Final Destination 5,Aug,12,2011,40,42.587643,155.011165
Fever Pitch,Apr,8,2005,40,42.071069,50.071069
Aliens vs. Predator - Requiem,Dec,25,2007,40,41.797066,128.884494
Sex Tape,Jul,18,2014,40,38.543473,126.069509
Scream 4,Apr,15,2011,40,38.180928,95.98959
Ri¢hie Ri¢h,Dec,21,1994,40,38.087756,38.087756
Autumn in New York,Aug,11,2000,40,37.752931,90.717684
Paul,Mar,18,2011,40,37.412945,101.162106
The Guilt Trip,Dec,19,2012,40,37.134215,41.294674
Colombiana,Aug,26,2011,40,36.665854,72.295262
8MM,Feb,26,1999,40,36.443442,96.398826
Hanging Up,Feb,18,2000,40,36.037909,51.867723
The Doors,Mar,1,1991,40,34.416893,34.416893
Mickey Blue Eyes,Aug,20,1999,40,33.864342,53.864342
Pay it Forward,Oct,20,2000,40,33.508922,55.696705
Arthur,Apr,8,2011,40,33.035397,47.787943
Drillbit Taylor,Mar,21,2008,40,32.862104,49.686263
Extremely Loud and Incredibly Close,Dec,25,2011,40,31.847881,55.247881
The Shadow,Jul,1,1994,40,31.8356,31.8356
Morning Glory,Nov,10,2010,40,31.011732,59.79507
Get Rich or Die Tryin',Nov,9,2005,40,30.98185,46.666955
The Art of War,Aug,25,2000,40,30.199105,30.199105
Grudge Match,Dec,25,2013,40,29.80726,69.80726
Bless the Child,Aug,11,2000,40,29.374178,40.435694
Rent,Nov,23,2005,40,29.077547,31.67062
The Out-of-Towners,Apr,2,1999,40,28.54412,28.54412
The Island of Dr. Moreau,Aug,23,1996,40,27.682712,27.682712
The Musketeer,Sep,7,2001,40,27.053815,27.053815
The Other Boleyn Girl,Feb,29,2008,40,26.814957,78.26997
Sweet November,Feb,16,2001,40,25.288103,65.754228
The Reaping,Apr,5,2007,40,25.126214,62.226214
Season of the Witch,Jan,7,2011,40,24.827228,91.1266
Renaissance Man,Jun,3,1994,40,24.172899,24.172899
Quest for Camelot,May,15,1998,40,22.7725,38.1725
City by the Sea,Sep,6,2002,40,22.433915,22.433915
At First Sight,Jan,15,1999,40,22.365133,22.365133
Torque,Jan,16,2004,40,21.176322,46.176322
The Fantastic Mr. Fox,Nov,13,2009,40,21.002919,47.085064
Showgirls,Sep,22,1995,40,20.350754,37.750754
City Hall,Feb,16,1996,40,20.278055,20.278055
Big Miracle,Feb,3,2012,40,20.1573,25.693998
The Impossible,Dec,21,2012,40,19.019882,169.590606
A Thousand Words,Mar,9,2012,40,18.450127,20.790486
Marie Antoinette,Oct,20,2006,40,15.962471,60.862471
Get Carter,Oct,6,2000,40,14.967182,19.417182
Kiss of Death,Apr,21,1995,40,14.942422,14.942422
"Life, or Something Like It",Apr,26,2002,40,14.448589,14.448589
Ishtar,May,15,1987,40,14.375181,14.375181
Memoirs of an Invisible Man,Feb,28,1992,40,14.358033,14.358033
Amelia,Oct,23,2009,40,14.279575,19.756077
Cirque du Freak: The Vampire's Assistant,Oct,23,2009,40,14.046595,39.753957
New York Minute,May,7,2004,40,14.018364,21.215882
The Deep End of the Ocean,Mar,12,1999,40,13.508635,13.508635
Alfie,Nov,5,2004,40,13.395939,35.195939
FearDotCom,Aug,30,2002,40,13.208023,13.208023
Soul Men,Nov,7,2008,40,12.082391,12.345883
The Gunman,Mar,20,2015,40,10.664749,13.644292
Universal Soldier II: The Return,Aug,20,1999,40,10.447421,10.717421
Pandorum,Sep,25,2009,40,10.330853,17.033431
Duplex,Sep,26,2003,40,9.652,10.070651
Paranoia,Aug,16,2013,40,7.388654,16.173593
Raise the Titanic,Aug,1,1980,40,7,7
Baahubali: The Beginning,Jul,10,2015,40,6.738,26.738
