Movie,Month,Day,Release Year,Budget($M),Domestic Gross($M),Worldwide Gross($M)
Suicide Squad,Aug,5,2016,175,321.423924,735.023924
Up,May,29,2009,175,293.004164,731.542621
Monsters vs. Aliens,Mar,27,2009,175,198.351526,381.68738
G.I. Joe: The Rise of Cobra,Aug,7,2009,175,150.201498,302.469017
Wild Wild West,Jun,30,1999,175,113.805681,221.229335
The Mummy: Tomb of the Dragon Emperor,Aug,1,2008,175,102.491776,405.760225
Evan Almighty,Jun,22,2007,175,100.28969,174.131329
Waterworld,Jul,28,1995,175,88.24622,264.24622
47 Ronin,Dec,25,2013,175,38.362475,151.659062
Guardians of the Galaxy,Aug,1,2014,170,333.172112,771.172112
Iron Man 2,May,7,2010,170,312.433331,623.561331
Captain America: The Winter Soldier,Apr,4,2014,170,259.746958,714.401889
Dawn of the Planet of the Apes,Jul,11,2014,170,208.545589,703.545589
The Polar Express,Nov,10,2004,170,194.949659,319.090241
Snow White and the Huntsman,Jun,1,2012,170,155.136755,401.016924
Terminator 3: Rise of the Machines,Jul,1,2003,170,150.358296,433.058296
Van Helsing,May,7,2004,170,120.150546,300.150546
Tomorrowland,May,22,2015,170,93.436322,205.336322
Alice Through the Looking Glass,May,27,2016,170,77.042381,277.442381
Shrek Forever After,May,21,2010,165,238.736787,756.244673
Big Hero 6,Nov,7,2014,165,222.527828,652.127828
How to Train Your Dragon,Mar,26,2010,165,217.581231,494.870991
Wreck-It Ralph,Nov,2,2012,165,189.412677,496.511521
Interstellar,Nov,5,2014,165,188.017894,665.417894
Independence Day: Resurgence,Jun,24,2016,165,103.144286,387.644286
Cowboys and Aliens,Jul,29,2011,163,100.240551,175.910315
Shrek the Third,May,17,2007,160,322.719944,807.330936
Inception,Jul,16,2010,160,292.576195,832.584416
The Hunger Games: Mockingjay - Part 2,Nov,20,2015,160,281.723902,650.523427
Fast and Furious 6,May,24,2013,160,238.67985,789.952811
Godzilla,May,16,2014,160,200.676069,529.076069
X-Men: First Class,Jun,3,2011,160,146.408305,355.408305
The Curious Case of Benjamin Button,Dec,25,2008,160,127.509326,329.809326
The Sorcerer's Apprentice,Jul,14,2010,160,63.150991,217.98632
Poseidon,May,12,2006,160,60.674817,181.674817
Warcraft,Jun,10,2016,160,47.225655,433.125655
Deepwater Horizon,Sep,30,2016,156,25.439985,37.839985
The Chronicles of Narnia: The Voyage of the Dawn Treader,Dec,10,2010,155,104.38695,418.18695
